placeid,name,norm,trainline,joinkey,latitude,longitude
1389,GAIBANELLA,GAIBANELLA,,GAIBANELLA,44.778281,11.670901
1390,GAIFANA,GAIFANA,,GAIFANA,43.181877,12.78444
1391,GALATI,GALATI,,GALATI,38.1046,15.5054
1393,GALLARATE,GALLARATE,,GALLARATE,45.660455,8.79883
1396,GALLESE IN TEVERINA,GALLESE IN TEVERINA,GALLESE TEVERINA,GALLESE TEVERINA,42.380884,12.439812
1397,GALLIERA,GALLIERA,,GALLIERA,44.737676,11.44138
1398,GALLIERA VENETA TOMBOLO,GALLIERA VENETA TOMBOLO,,GALLIERA VENETA TOMBOLO,45.652787,11.827718
1401,GAMBETTOLA,GAMBETTOLA,,GAMBETTOLA,44.116746,12.327527
1402,GAMBOLO'-REMONDO',GAMBOLO REMONDO,,GAMBOLO REMONDO,45.235556,8.797222
1404,GARBAGNA,GARBAGNA,,GARBAGNA,45.385691,8.666158
1405,GARESSIO,GARESSIO,,GARESSIO,44.199167,8.015278
1407,GARLASCO,GARLASCO,,GARLASCO,45.1989,8.92679
1408,GATTEO A MARE,GATTEO A MARE,,GATTEO A MARE,44.170556,12.432333
1409,GATTINARA,GATTINARA,,GATTINARA,45.6114,8.36467
1411,GAVORRANO,GAVORRANO,,GAVORRANO,42.948041,10.933696
1413,GAZZADA SCHIANNO MORAZZONE,GAZZADA SCHIANNO MORAZZONE,,GAZZADA SCHIANNO MORAZZONE,45.7787,8.82469
1414,GAZZO DI BIGARELLO,GAZZO DI BIGARELLO,,GAZZO DI BIGARELLO,45.176691,10.894027
1415,GAZZO PIEVE S.GIACOMO,GAZZO PIEVE SAN GIACOMO,,GAZZO PIEVE SAN GIACOMO,45.1372,10.1899
1416,GELA,GELA,,GELA,37.072988,14.259255
1417,GELA-ANIC,GELA ANIC,,GELA ANIC,37.045013,14.299176
1419,GEMONA DEL FRIULI,GEMONA DEL FRIULI,,GEMONA DEL FRIULI,46.27209,13.127576
1420,GENGA S.VITTORE TERME,GENGA SAN VITTORE TERME,,GENGA SAN VITTORE TERME,43.403056,12.976944
242,GENOVA ACQUASANTA,GENOVA ACQUASANTA,,GENOVA ACQUASANTA,44.458714,8.773256
243,GENOVA BOLZANETO,GENOVA BOLZANETO,,GENOVA BOLZANETO,44.459271,8.900147
244,GENOVA BORZOLI,GENOVA BORZOLI,,GENOVA BORZOLI,44.43474,8.866689
245,GENOVA BRIGNOLE,GENOVA BRIGNOLE,,GENOVA BRIGNOLE,44.406999,8.947197
248,GENOVA CORNIGLIANO,GENOVA CORNIGLIANO,,GENOVA CORNIGLIANO,44.414766,8.865017
249,GENOVA COSTA DI SESTRI PONENTE,GENOVA COSTA DI SESTRI PONENTE,,GENOVA COSTA DI SESTRI PONENTE,44.433868,8.84667
251,GENOVA GRANARA,GENOVA GRANARA,,GENOVA GRANARA,44.442048,8.823496
254,GENOVA NERVI,GENOVA NERVI,,GENOVA NERVI,44.381155,9.039957
